candidate_id,candidate_skills,candidate_experience_years,candidate_location,job_id,job_title,job_description,job_required_skills,job_min_experience_years,job_location,job_type,applied_label
CAND_30,"Machine Learning, Econometrics, C++",7,Remote,JOB_342,Data Scientist,"We are looking for a Data Scientist with skills in Digital Illustration, Data Warehousing, Research.","Digital Illustration, Data Warehousing, Research",1,New York,Remote,1
CAND_31,"Storytelling, Machine Learning, Network Security",2,Berlin,JOB_301,Business Analyst,"We are looking for a Business Analyst with skills in CSS, Digital Marketing, IoT.","CSS, Digital Marketing, IoT",7,San Francisco,Full-time,0
CAND_32,"R, Financial Analysis, TensorFlow",7,Toronto,JOB_197,Project Manager,"We are looking for a Project Manager with skills in Financial Analysis, Data Warehousing, SEO.","Financial Analysis, Data Warehousing, SEO",0,Berlin,Contract,1
CAND_33,"Storytelling, Algorithms, Linux",4,New York,JOB_251,Software Engineer,"We are looking for a Software Engineer with skills in Negotiation, Microservices, UX Research.","Negotiation, Microservices, UX Research",2,Berlin,Full-time,1
CAND_34,"Excel, IoT, Digital Illustration",10,Toronto,JOB_316,UX Designer,"We are looking for a UX Designer with skills in Cybersecurity, System Design, ETL.","Cybersecurity, System Design, ETL",4,New York,Part-time,1
CAND_35,"Risk Analysis, Project Management, Software Design",1,San Francisco,JOB_463,Software Engineer,"We are looking for a Software Engineer with skills in Java, Embedded Systems, Adobe Illustrator.","Java, Embedded Systems, Adobe Illustrator",5,Berlin,Contract,0
CAND_36,"Java, Data Visualization, Machine Learning",1,Remote,JOB_448,Software Engineer,"We are looking for a Software Engineer with skills in Adobe Illustrator, Cloud Computing, NLP.","Adobe Illustrator, Cloud Computing, NLP",6,Berlin,Contract,0
CAND_37,"Cybersecurity, JavaScript, AI",2,San Francisco,JOB_390,Cloud Engineer,"We are looking for a Cloud Engineer with skills in C++, UX, Data Analysis.","C++, UX, Data Analysis",1,San Francisco,Remote,1
CAND_38,"Prototyping, Adobe Illustrator, SQL",3,New York,JOB_102,Web Developer,"We are looking for a Web Developer with skills in Social Media, IoT, Analytics.","Social Media, IoT, Analytics",0,Berlin,Full-time,1
CAND_39,"Digital Illustration, .NET, Adobe XD",3,London,JOB_412,UX Designer,"We are looking for a UX Designer with skills in AI, DevOps, Node.js.","AI, DevOps, Node.js",5,Remote,Part-time,0
CAND_40,"Data Warehousing, Data Visualization, Interaction Design",6,San Francisco,JOB_489,Project Manager,"We are looking for a Project Manager with skills in UX Design, Node.js, Adobe Creative Suite.","UX Design, Node.js, Adobe Creative Suite",8,New York,Part-time,0
CAND_41,"Econometrics, Content Writing, System Design",3,Toronto,JOB_322,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Spring, Data Science, Natural Language Processing.","Spring, Data Science, Natural Language Processing",1,San Francisco,Part-time,1
CAND_42,"Embedded Systems, Digital Marketing, Software Design",5,Remote,JOB_370,UX Designer,"We are looking for a UX Designer with skills in Data Science, Marketing Strategy, Node.js.","Data Science, Marketing Strategy, Node.js",6,Toronto,Full-time,0
CAND_43,"Adobe XD, Negotiation, Storytelling",7,Toronto,JOB_494,Data Scientist,"We are looking for a Data Scientist with skills in SEO, HTML, Statistical Analysis.","SEO, HTML, Statistical Analysis",4,Remote,Contract,1
CAND_44,".NET, Econometrics, Content Creation",1,New York,JOB_290,UX Designer,"We are looking for a UX Designer with skills in IoT, DevOps, Data Analysis.","IoT, DevOps, Data Analysis",5,San Francisco,Remote,0
CAND_45,"Linux, Negotiation, Java",2,Berlin,JOB_80,Data Scientist,"We are looking for a Data Scientist with skills in SEO, Natural Language Processing, TensorFlow.","SEO, Natural Language Processing, TensorFlow",4,Toronto,Contract,0
CAND_46,"Data Visualization, Risk Analysis, Illustration",7,San Francisco,JOB_269,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Negotiation, Marketing Strategy, R.","Negotiation, Marketing Strategy, R",7,Berlin,Contract,1
CAND_47,"HTML, Data Visualization, Adobe XD",2,London,JOB_494,UX Designer,"We are looking for a UX Designer with skills in UX Design, UI Design, Software Design.","UX Design, UI Design, Software Design",6,New York,Remote,0
CAND_48,"Analytics, Adobe Illustrator, Node.js",10,Remote,JOB_493,Data Scientist,"We are looking for a Data Scientist with skills in Research, C++, Digital Marketing.","Research, C++, Digital Marketing",7,Remote,Part-time,1
CAND_49,"Content Creation, Algorithms, Cloud Computing",2,Berlin,JOB_356,Web Developer,"We are looking for a Web Developer with skills in Storytelling, Content Writing, Statistical Analysis.","Storytelling, Content Writing, Statistical Analysis",1,London,Contract,1
CAND_50,"Negotiation, Excel, UX/UI",3,San Francisco,JOB_170,Business Analyst,"We are looking for a Business Analyst with skills in Adobe Illustrator, UI/UX, CRM.","Adobe Illustrator, UI/UX, CRM",4,Berlin,Part-time,0
CAND_51,"Content Writing, Content Creation, C#",8,Berlin,JOB_6,Software Engineer,"We are looking for a Software Engineer with skills in Data Structures, Communication, Creativity.","Data Structures, Communication, Creativity",6,New York,Full-time,1
CAND_52,"Digital Illustration, Illustration, UI/UX",6,Toronto,JOB_341,UX Designer,"We are looking for a UX Designer with skills in C#, Cybersecurity, Statistical Analysis.","C#, Cybersecurity, Statistical Analysis",5,New York,Full-time,1
CAND_53,"Marketing Strategy, Interaction Design, Android",8,New York,JOB_343,AI Engineer,"We are looking for a AI Engineer with skills in Cybersecurity, UX/UI, C++.","Cybersecurity, UX/UI, C++",3,Remote,Full-time,1
CAND_54,"Econometrics, Excel, Machine Learning",3,Remote,JOB_149,Software Engineer,"We are looking for a Software Engineer with skills in Copywriting, Illustration, Digital Illustration.","Copywriting, Illustration, Digital Illustration",3,San Francisco,Full-time,1
CAND_55,"Digital Illustration, Algorithms, Linux",4,Berlin,JOB_241,Software Engineer,"We are looking for a Software Engineer with skills in R, ETL, Big Data.","R, ETL, Big Data",8,London,Contract,0
CAND_56,"UX, Adobe Illustrator, Embedded Systems",3,Remote,JOB_432,Business Analyst,"We are looking for a Business Analyst with skills in Prototyping, Data Visualization, ETL.","Prototyping, Data Visualization, ETL",0,San Francisco,Part-time,1
CAND_57,"Adobe Illustrator, Node.js, Business Analysis",0,Remote,JOB_60,Software Engineer,"We are looking for a Software Engineer with skills in Cloud Computing, Content Creation, Agile.","Cloud Computing, Content Creation, Agile",1,London,Contract,0
CAND_58,"Copywriting, Negotiation, Java",8,New York,JOB_201,Project Manager,"We are looking for a Project Manager with skills in Excel, Digital Marketing, Android.","Excel, Digital Marketing, Android",8,Berlin,Contract,1
CAND_59,"Risk Analysis, Algorithms, Data Science",5,London,JOB_256,Web Developer,"We are looking for a Web Developer with skills in UX, Machine Learning, Natural Language Processing.","UX, Machine Learning, Natural Language Processing",7,San Francisco,Full-time,0
CAND_60,"Negotiation, Content Writing, Python",3,Remote,JOB_113,Project Manager,"We are looking for a Project Manager with skills in DevOps, Deep Learning, Digital Marketing.","DevOps, Deep Learning, Digital Marketing",6,London,Part-time,0
CAND_61,"Prototyping, Machine Learning, Social Media",8,New York,JOB_154,Project Manager,"We are looking for a Project Manager with skills in Software Design, TensorFlow, Interaction Design.","Software Design, TensorFlow, Interaction Design",1,Toronto,Remote,1
CAND_62,"R, Adobe XD, C#",8,Berlin,JOB_142,Software Engineer,"We are looking for a Software Engineer with skills in Project Management, TensorFlow, Agile.","Project Management, TensorFlow, Agile",8,Remote,Part-time,1
CAND_63,"Content Writing, Graphic Design, Android",3,Berlin,JOB_128,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Prototyping, Software Design, Agile.","Prototyping, Software Design, Agile",3,Berlin,Contract,1
CAND_64,"Python, NLP, .NET",2,San Francisco,JOB_130,AI Engineer,"We are looking for a AI Engineer with skills in IoT, Adobe Photoshop, Business Analysis.","IoT, Adobe Photoshop, Business Analysis",0,Toronto,Part-time,1
CAND_65,"Microservices, CSS, Node.js",1,Remote,JOB_489,Project Manager,"We are looking for a Project Manager with skills in Social Media, Automation, Illustration.","Social Media, Automation, Illustration",0,New York,Full-time,1
CAND_66,"UX Design, C++, Statistical Analysis",1,Toronto,JOB_131,Data Scientist,"We are looking for a Data Scientist with skills in Negotiation, Digital Illustration, System Design.","Negotiation, Digital Illustration, System Design",8,Berlin,Part-time,0
CAND_67,"UI/UX, Adobe XD, Business Analysis",7,Remote,JOB_202,Cloud Engineer,"We are looking for a Cloud Engineer with skills in TensorFlow, JavaScript, Network Security.","TensorFlow, JavaScript, Network Security",1,Berlin,Contract,1
CAND_68,"Negotiation, Storytelling, C#",6,Remote,JOB_284,UX Designer,"We are looking for a UX Designer with skills in Data Analysis, Business Analysis, Natural Language Processing.","Data Analysis, Business Analysis, Natural Language Processing",2,Berlin,Remote,1
CAND_69,"Analytics, Natural Language Processing, System Design",6,Toronto,JOB_33,UX Designer,"We are looking for a UX Designer with skills in JavaScript, Marketing Strategy, Microservices.","JavaScript, Marketing Strategy, Microservices",6,San Francisco,Contract,1
CAND_70,"HTML, Deep Learning, Linux",4,New York,JOB_359,Business Analyst,"We are looking for a Business Analyst with skills in UX Design, Digital Marketing, Microservices.","UX Design, Digital Marketing, Microservices",8,Toronto,Remote,0
CAND_71,"SEO, DevOps, JavaScript",7,New York,JOB_221,Project Manager,"We are looking for a Project Manager with skills in HTML, UI Design, IoT.","HTML, UI Design, IoT",3,London,Part-time,1
CAND_72,"Node.js, Network Security, Copywriting",2,London,JOB_393,Cloud Engineer,"We are looking for a Cloud Engineer with skills in UX Research, Marketing Strategy, C++.","UX Research, Marketing Strategy, C++",1,New York,Remote,1
CAND_73,"React, Android, Data Visualization",9,Toronto,JOB_441,Project Manager,"We are looking for a Project Manager with skills in UI Design, Linux, JavaScript.","UI Design, Linux, JavaScript",1,Toronto,Remote,1
CAND_74,"Data Visualization, Data Mining, Risk Analysis",4,Toronto,JOB_338,Software Engineer,"We are looking for a Software Engineer with skills in Microservices, Data Analysis, Excel.","Microservices, Data Analysis, Excel",1,Berlin,Remote,1
CAND_75,"Linux, Android, Digital Marketing",7,Remote,JOB_154,UX Designer,"We are looking for a UX Designer with skills in Android, Data Structures, Cloud Computing.","Android, Data Structures, Cloud Computing",2,San Francisco,Contract,1
CAND_76,"C++, Network Security, Content Writing",10,Remote,JOB_100,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Creativity, TensorFlow, Data Visualization.","Creativity, TensorFlow, Data Visualization",8,Remote,Full-time,1
CAND_77,"R, UX Research, Digital Marketing",3,Toronto,JOB_241,AI Engineer,"We are looking for a AI Engineer with skills in Digital Illustration, Marketing Strategy, CRM.","Digital Illustration, Marketing Strategy, CRM",3,Toronto,Contract,1
CAND_78,"TensorFlow, System Design, AI",0,San Francisco,JOB_497,Data Scientist,"We are looking for a Data Scientist with skills in Cloud Computing, Graphic Design, DevOps.","Cloud Computing, Graphic Design, DevOps",1,New York,Contract,0
CAND_79,"HTML, Cloud Computing, Excel",8,London,JOB_471,Web Developer,"We are looking for a Web Developer with skills in Algorithms, C++, Prototyping.","Algorithms, C++, Prototyping",1,San Francisco,Contract,1
CAND_80,"Project Management, Econometrics, UI Design",0,Toronto,JOB_448,Business Analyst,"We are looking for a Business Analyst with skills in System Design, UI Design, Agile.","System Design, UI Design, Agile",0,New York,Full-time,1
CAND_81,"Data Structures, Project Management, System Design",1,Berlin,JOB_434,AI Engineer,"We are looking for a AI Engineer with skills in R, SEO, UI Design.","R, SEO, UI Design",4,San Francisco,Part-time,0
CAND_82,"C++, Business Analysis, Linux",8,Toronto,JOB_138,Business Analyst,"We are looking for a Business Analyst with skills in User Research, Econometrics, Data Visualization.","User Research, Econometrics, Data Visualization",0,Remote,Remote,1
CAND_83,"Data Visualization, CSS, AI",1,New York,JOB_27,AI Engineer,"We are looking for a AI Engineer with skills in R, UI Design, Data Analysis.","R, UI Design, Data Analysis",0,Berlin,Remote,1
CAND_84,"Interaction Design, Digital Marketing, Illustration",3,Toronto,JOB_440,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Communication, TensorFlow, Content Writing.","Communication, TensorFlow, Content Writing",0,London,Full-time,1
CAND_85,"HTML, Econometrics, UX Research",6,Remote,JOB_88,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Node.js, SQL, .NET.","Node.js, SQL, .NET",5,Remote,Remote,1
CAND_86,"Cybersecurity, Business Analysis, Statistical Analysis",1,New York,JOB_361,Data Scientist,"We are looking for a Data Scientist with skills in Python, Illustration, Data Analysis.","Python, Illustration, Data Analysis",5,Remote,Remote,0
CAND_87,"C#, Digital Illustration, CRM",1,Toronto,JOB_233,Software Engineer,"We are looking for a Software Engineer with skills in TensorFlow, Data Mining, Copywriting.","TensorFlow, Data Mining, Copywriting",8,London,Remote,0
CAND_88,"Prototyping, UI Design, Storytelling",8,Toronto,JOB_153,Software Engineer,"We are looking for a Software Engineer with skills in UI/UX, .NET, System Design.","UI/UX, .NET, System Design",7,San Francisco,Remote,1
CAND_89,"Risk Analysis, Creativity, Adobe Photoshop",4,New York,JOB_419,UX Designer,"We are looking for a UX Designer with skills in Communication, UI/UX, UX/UI.","Communication, UI/UX, UX/UI",0,Berlin,Part-time,1
CAND_90,"Data Analysis, UX Research, Storytelling",7,Remote,JOB_132,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Adobe Creative Suite, UX Design, Risk Analysis.","Adobe Creative Suite, UX Design, Risk Analysis",7,New York,Full-time,1
CAND_91,"Illustration, Natural Language Processing, User Research",3,Remote,JOB_322,Project Manager,"We are looking for a Project Manager with skills in Content Writing, R, Embedded Systems.","Content Writing, R, Embedded Systems",5,San Francisco,Full-time,0
CAND_92,"Automation, Data Mining, Marketing Strategy",1,London,JOB_19,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Java, UX/UI, Research.","Java, UX/UI, Research",4,New York,Full-time,0
CAND_93,"Algorithms, R, UI/UX",6,Remote,JOB_126,Project Manager,"We are looking for a Project Manager with skills in Digital Illustration, Communication, CSS.","Digital Illustration, Communication, CSS",2,San Francisco,Part-time,1
CAND_94,"Deep Learning, React, Data Visualization",5,New York,JOB_187,Data Scientist,"We are looking for a Data Scientist with skills in Prototyping, Android, Adobe Creative Suite.","Prototyping, Android, Adobe Creative Suite",5,London,Remote,1
CAND_95,"Network Security, Embedded Systems, Python",9,Berlin,JOB_104,Project Manager,"We are looking for a Project Manager with skills in Android, Adobe Creative Suite, Data Visualization.","Android, Adobe Creative Suite, Data Visualization",6,Remote,Part-time,1
CAND_96,"Network Security, User Research, Cybersecurity",4,San Francisco,JOB_19,Data Scientist,"We are looking for a Data Scientist with skills in R, Prototyping, Spring.","R, Prototyping, Spring",1,San Francisco,Contract,1
CAND_97,"System Design, CSS, Cybersecurity",6,Berlin,JOB_418,Business Analyst,"We are looking for a Business Analyst with skills in Digital Illustration, AI, User Research.","Digital Illustration, AI, User Research",6,Toronto,Full-time,1
CAND_98,"Business Analysis, Adobe Photoshop, Network Security",3,San Francisco,JOB_425,AI Engineer,"We are looking for a AI Engineer with skills in Communication, Spring, Prototyping.","Communication, Spring, Prototyping",4,Toronto,Full-time,0
CAND_99,"Linux, Excel, UI/UX",2,San Francisco,JOB_135,AI Engineer,"We are looking for a AI Engineer with skills in Project Management, Network Security, Spring.","Project Management, Network Security, Spring",7,Berlin,Part-time,0
CAND_100,"UX/UI, Network Security, Software Design",3,London,JOB_86,Business Analyst,"We are looking for a Business Analyst with skills in Machine Learning, UX, Data Structures.","Machine Learning, UX, Data Structures",6,San Francisco,Full-time,0
CAND_101,"Natural Language Processing, Adobe Photoshop, Social Media",3,London,JOB_464,AI Engineer,"We are looking for a AI Engineer with skills in Microservices, Research, CSS.","Microservices, Research, CSS",3,Toronto,Part-time,1
CAND_102,"Algorithms, Graphic Design, Digital Illustration",6,Berlin,JOB_223,Software Engineer,"We are looking for a Software Engineer with skills in Business Analysis, Adobe XD, Social Media.","Business Analysis, Adobe XD, Social Media",5,Remote,Full-time,1
CAND_103,"Excel, Risk Analysis, Microservices",4,San Francisco,JOB_90,Business Analyst,"We are looking for a Business Analyst with skills in .NET, UX Research, IoT.",".NET, UX Research, IoT",8,Toronto,Part-time,0
CAND_104,"R, Data Structures, Java",2,Toronto,JOB_420,Business Analyst,"We are looking for a Business Analyst with skills in Project Management, AI, TensorFlow.","Project Management, AI, TensorFlow",7,New York,Full-time,0
CAND_105,"Python, Android, UI Design",3,London,JOB_405,Software Engineer,"We are looking for a Software Engineer with skills in UI Design, Project Management, Social Media.","UI Design, Project Management, Social Media",3,Berlin,Part-time,1
CAND_106,"NLP, Big Data, SEO",2,London,JOB_31,Web Developer,"We are looking for a Web Developer with skills in Data Visualization, Content Writing, Content Strategy.","Data Visualization, Content Writing, Content Strategy",0,London,Full-time,1
CAND_107,"Linux, Cloud Computing, Adobe Creative Suite",1,New York,JOB_122,UX Designer,"We are looking for a UX Designer with skills in Adobe Photoshop, Java, C++.","Adobe Photoshop, Java, C++",4,Remote,Remote,0
CAND_108,"Android, Storytelling, Automation",7,London,JOB_262,Business Analyst,"We are looking for a Business Analyst with skills in Spring, Microservices, Graphic Design.","Spring, Microservices, Graphic Design",8,London,Part-time,0
CAND_109,"Java, System Design, Data Structures",6,San Francisco,JOB_284,Data Scientist,"We are looking for a Data Scientist with skills in SQL, System Design, CRM.","SQL, System Design, CRM",8,New York,Contract,0
CAND_110,"Content Writing, .NET, Social Media",4,Remote,JOB_168,Project Manager,"We are looking for a Project Manager with skills in ETL, Adobe XD, Adobe Photoshop.","ETL, Adobe XD, Adobe Photoshop",3,Toronto,Full-time,1
CAND_111,"Data Analysis, Cybersecurity, Agile",1,Berlin,JOB_40,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Data Visualization, Cloud Computing, SEO.","Data Visualization, Cloud Computing, SEO",4,New York,Part-time,0
CAND_112,"Content Writing, UX, Adobe Illustrator",10,Toronto,JOB_200,Web Developer,"We are looking for a Web Developer with skills in ETL, R, Digital Illustration.","ETL, R, Digital Illustration",4,Remote,Full-time,1
CAND_113,"Communication, Deep Learning, User Research",1,Berlin,JOB_49,Web Developer,"We are looking for a Web Developer with skills in Creativity, CRM, Algorithms.","Creativity, CRM, Algorithms",5,Toronto,Remote,0
CAND_114,"Cybersecurity, System Design, Data Warehousing",4,San Francisco,JOB_122,Project Manager,"We are looking for a Project Manager with skills in .NET, DevOps, Financial Analysis.",".NET, DevOps, Financial Analysis",3,London,Remote,1
CAND_115,"Marketing Strategy, Automation, Copywriting",6,Toronto,JOB_457,Software Engineer,"We are looking for a Software Engineer with skills in JavaScript, Statistical Analysis, User Research.","JavaScript, Statistical Analysis, User Research",1,London,Remote,1
CAND_116,"DevOps, Excel, Content Creation",9,San Francisco,JOB_4,Software Engineer,"We are looking for a Software Engineer with skills in SQL, HTML, Cloud Computing.","SQL, HTML, Cloud Computing",7,Toronto,Remote,1
CAND_117,"Adobe Photoshop, Analytics, Cloud Computing",9,San Francisco,JOB_195,Project Manager,"We are looking for a Project Manager with skills in Social Media, SEO, AI.","Social Media, SEO, AI",8,London,Remote,1
CAND_118,"IoT, React, Business Analysis",2,San Francisco,JOB_45,Cloud Engineer,"We are looking for a Cloud Engineer with skills in UI/UX, Prototyping, Natural Language Processing.","UI/UX, Prototyping, Natural Language Processing",6,Berlin,Remote,0
CAND_119,"Econometrics, Linux, Big Data",0,Berlin,JOB_364,Data Scientist,"We are looking for a Data Scientist with skills in Automation, Content Creation, Risk Analysis.","Automation, Content Creation, Risk Analysis",7,Toronto,Contract,0
CAND_120,"Digital Marketing, .NET, AI",4,London,JOB_364,UX Designer,"We are looking for a UX Designer with skills in SQL, Social Media, React.","SQL, Social Media, React",4,Toronto,Contract,1
CAND_121,"UX Design, Marketing Strategy, System Design",6,San Francisco,JOB_174,AI Engineer,"We are looking for a AI Engineer with skills in Data Mining, Automation, Research.","Data Mining, Automation, Research",8,London,Remote,0
CAND_122,".NET, C#, Data Structures",1,New York,JOB_434,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Big Data, UI Design, Linux.","Big Data, UI Design, Linux",8,New York,Part-time,0
CAND_123,"Digital Marketing, C++, Data Warehousing",1,Toronto,JOB_358,Project Manager,"We are looking for a Project Manager with skills in Microservices, Project Management, Deep Learning.","Microservices, Project Management, Deep Learning",3,Remote,Contract,0
CAND_124,"Digital Illustration, Data Warehousing, Data Analysis",4,Remote,JOB_451,Web Developer,"We are looking for a Web Developer with skills in UX, Prototyping, Storytelling.","UX, Prototyping, Storytelling",7,Toronto,Contract,0
CAND_125,"Econometrics, Statistics, Spring",4,Remote,JOB_191,AI Engineer,"We are looking for a AI Engineer with skills in Communication, Data Visualization, .NET.","Communication, Data Visualization, .NET",1,London,Remote,1
CAND_126,"Analytics, SQL, Illustration",1,Toronto,JOB_102,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Project Management, HTML, Digital Marketing.","Project Management, HTML, Digital Marketing",7,Remote,Part-time,0
CAND_127,"Natural Language Processing, Research, Analytics",9,San Francisco,JOB_72,Data Scientist,"We are looking for a Data Scientist with skills in DevOps, Android, Social Media.","DevOps, Android, Social Media",0,Berlin,Remote,1
CAND_128,"Marketing Strategy, Communication, C#",8,Remote,JOB_180,Project Manager,"We are looking for a Project Manager with skills in Data Science, C#, React.","Data Science, C#, React",3,New York,Contract,1
CAND_129,"Copywriting, Deep Learning, Data Structures",2,Toronto,JOB_164,Project Manager,"We are looking for a Project Manager with skills in Risk Analysis, UI Design, UX.","Risk Analysis, UI Design, UX",7,New York,Part-time,0
